Name,Formula,Adduct,Dil_1_1,InChI,InChI_Key,cid,complexity,exact_mass,h_bond_acceptor_count,h_bond_donor_count,heavy_atom_count,molecular_formula,rotatable_bond_count,tpsa,xlogp,Match,GENERIC_NAME,CHEMICAL_FORMULA,INCHI_KEY,EXACT_MASS,ALOGPS_LOGP,ALOGPS_LOGS,ALOGPS_SOLUBILITY,MOLECULAR_WEIGHT,SMILES,HMDB_ID,INCHI_IDENTIFIER,JCHEM_ACCEPTOR_COUNT,JCHEM_ACIDIC_PKA,JCHEM_BASIC_PKA,JCHEM_DONOR_COUNT,JCHEM_LOGP,JCHEM_PHYSIOLOGICAL_CHARGE,JCHEM_POLARIZABILITY,JCHEM_POLAR_SURFACE_AREA,JCHEM_REFRACTIVITY,JCHEM_ROTATABLE_BOND_COUNT,IUPAC_NAME,TRADITIONAL_IUPAC_NAME,SYNONYMS
Cytidine,C9H13N3O5,M+H,140241792.0,"InChI=1S/C9H13N3O5/c10-5-1-2-12(9(16)11-5)8-7(15)6(14)4(3-13)17-8/h1-2,4,6-8,13-15H,3H2,(H2,10,11,16)/t4-,6-,7-,8-/m1/s1",InChIKey=UHDGCWIWMRVCDJ-XVFCMESISA-N,6175.0,383.0,243.085521,5.0,4.0,17.0,C9H13N3O5,2.0,129.0,-2.1,1,Cytidine,C9H13N3O5,InChIKey=UHDGCWIWMRVCDJ-XVFCMESISA-N,243.085520541,-2.2,-0.74,43.8 g/L,243.2166,NC1=NC(=O)N(C=C1)[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1O,HMDB00089,"InChI=1S/C9H13N3O5/c10-5-1-2-12(9(16)11-5)8-7(15)6(14)4(3-13)17-8/h1-2,4,6-8,13-15H,3H2,(H2,10,11,16)/t4-,6-,7-,8-/m1/s1",7,12.55,-0.55,4,-2.8,0,22.39,128.61,54.54,2,"4-amino-1-[(2R,3R,4S,5R)-3,4-dihydroxy-5-(hydroxymethyl)oxolan-2-yl]-1,2-dihydropyrimidin-2-one",cytidine,"1-(b-D-Ribofuranosyl)-2-oxo-4-amino-1,2-dihydro-1,3-diazine;1-(b-delta-Ribofuranosyl)-2-oxo-4-amino-1,2-dihydro-1,3-diazine;1-b-D-Ribofuranosylcytosine;1-b-D-Ribosyl-Cytosine;1-beta-D-Ribofuranosyl-Cytosine;1-beta-D-Ribofuranosylcytosine;1-beta-delta-Ribofuranosyl-Cytosine;1-beta-delta-Ribofuranosylcytosine;1-beta-delta-Ribosyl-Cytosine;1beta-D-Ribofuranosylcytosine;1beta-delta-Ribofuranosylcytosine;1beta-Ribofuranosylcytosine;4-Amino-1-b-D-ribofuranosyl-2(1H)-pyrimidinone;4-Amino-1-beta-delta-ribofuranosyl-2(1H)-pyrimidinone;Cytidine;Cytosine riboside;Cytosine-1b-D-Ribofuranoside;Cytosine-1b-delta-Ribofuranoside;Cytosine-1beta-D-Ribofuranoside;Cytosine-1beta-delta-Ribofuranoside"
Ethanolamine phosphate,C2H8NO4P,M+H,1322689.25,"InChI=1S/C2H8NO4P/c3-1-2-7-8(4,5)6/h1-3H2,(H2,4,5,6)",InChIKey=SUHOOTKUPISOBE-UHFFFAOYSA-N,1015.0,98.2,141.019094,5.0,3.0,8.0,C2H8NO4P,3.0,92.8,-4.8,3,O-Phosphoethanolamine,C2H8NO4P,InChIKey=SUHOOTKUPISOBE-UHFFFAOYSA-N,141.019094261,-1.5,-0.74,25.8 g/L,141.063,NCCOP(O)(O)=O,HMDB00224,"InChI=1S/C2H8NO4P/c3-1-2-7-8(4,5)6/h1-3H2,(H2,4,5,6)",4,1.54,10.02,3,-2.5,-1,11.12,92.78,27.08,3,(2-aminoethoxy)phosphonic acid,2-aminoethoxyphosphonic acid,2-Amino-Ethanol dihydrogen phosphate;2-Amino-Ethanol dihydrogen phosphate (ester);2-Amino-Ethanol phosphate;2-Aminoethanol O-phosphate;2-Aminoethyl dihydrogen phosphate;2-Aminoethyl dihydrogen phosphate (ACD/Name 4.0);2-Aminoethyl phosphate;Colamine acid phosphate;Colamine phosphate;Colamine phosphoric acid;Colaminephosphoric acid;Colaminphosphoric acid;EAP;Ethanolamine acid phosphate;Ethanolamine O-phosphate;Ethanolamine phosphate;Mono(2-aminoethyl) phosphate;Monoaminoethyl phosphate;O-Phosphocolamine;O-Phosphoethanolamine;O-Phosphorylethanolamine;OPE;PETN;Phosphoethanolamine;Phosphonoethanolamine;Phosphoric acid 2-aminoethyl phenyl ester;Phosphoryethanolamine;Phosphorylethanolamine
Glycine,C2H5NO2,M+H,2070240.5,"InChI=1S/C2H5NO2/c3-1-2(4)5/h1,3H2,(H,4,5)",InChIKey=DHMQDGOQFOQNFH-UHFFFAOYSA-N,750.0,42.9,75.032028,3.0,2.0,5.0,C2H5NO2,1.0,63.3,-3.2,1,Glycine,C2H5NO2,InChIKey=DHMQDGOQFOQNFH-UHFFFAOYSA-N,75.032028409,-3.3,0.87,552 g/L,75.0666,NCC(O)=O,HMDB00123,"InChI=1S/C2H5NO2/c3-1-2(4)5/h1,3H2,(H,4,5)",3,2.31,9.24,2,-3.4,0,6.65,63.32,16,1,2-aminoacetic acid,glycine,2-Aminoacetate;2-Aminoacetic acid;Aciport;Amino-Acetate;Amino-Acetic acid;Aminoacetate;Aminoacetic acid;Aminoethanoate;Aminoethanoic acid;Glicoamin;Glycocoll;Glycolixir;Glycosthene;Gyn-Hydralin;Padil
L-Cystine,C6H12N2O4S2,M+H,1991438.5,"InChI=1S/C6H12N2O4S2/c7-3(5(9)10)1-13-14-2-4(8)6(11)12/h3-4H,1-2,7-8H2,(H,9,10)(H,11,12)/t3-,4-/m0/s1",InChIKey=LEVWYRKDKASIDU-IMJSIDKUSA-N,67678.0,192.0,240.023849,8.0,4.0,14.0,C6H12N2O4S2,7.0,177.0,-6.3,1,L-Cystine,C6H12N2O4S2,InChIKey=LEVWYRKDKASIDU-IMJSIDKUSA-N,240.023848262,-3.2,-1.2,16.8 g/L,240.3,N[C@@H](CSSC[C@H](N)C(O)=O)C(O)=O,HMDB00192,"InChI=1S/C6H12N2O4S2/c7-3(5(9)10)1-13-14-2-4(8)6(11)12/h3-4H,1-2,7-8H2,(H,9,10)(H,11,12)/t3-,4-/m0/s1",6,1.56,9.34,4,-5.9,0,22.52,126.64,54.87,7,(2R)-2-amino-3-{[(2R)-2-amino-2-carboxyethyl]disulfanyl}propanoic acid,L-cystine,"(-)-Cystine;(R-(R*,R*))-3,3'-Dithiobis;2-Amino-3-(2-amino-2-carboxy-ethyl)disulfanyl-propanoate;2-Amino-3-(2-amino-2-carboxy-ethyl)disulfanyl-propanoic acid;2-Amino-3-[(2-amino-2-carboxyethyl)dithio]propanoate;2-Amino-3-[(2-amino-2-carboxyethyl)dithio]propanoic acid;3,3'-Dithiobis;3,3'-Dithiobis-L-Alanine;3,3'-Dithiobis[2-amino-[R-(R*,R*)]-Propanoate;3,3'-Dithiobis[2-amino-[R-(R*,R*)]-Propanoic acid;3,3'-Dithiodialanine;b,b'-Diamino-b,b'-dicarboxydiethyl disulfide;b,b'-Dithiodialanine;beta,beta'-Dithiobisalanine;beta,beta'-Dithiodialanine;Bis(b-amino-b-carboxyethyl) disulfide;Bis(b-amino-beta-carboxyethyl) disulfide;Cysteine disulfide;Cystin;Cystine;Cystine acid;D(+)-3,3'-Dithiobis(2-aminopropanoate;D(+)-3,3'-Dithiobis(2-aminopropanoic acid;Dicysteine;Gelucystine;L-(-)-Cystine;L-Cysteine disulfide;L-Cystin;L-Cystine;Oxidized L-cysteine;[R-(R*,R*)]-3,3'-Dithiobis"
D-Glucosamine,C6H13NO5,M+H,14592221.0,"InChI=1S/C6H13NO5/c7-3-5(10)4(9)2(1-8)12-6(3)11/h2-6,8-11H,1,7H2/t2-,3-,4-,5-,6?/m1/s1",InChIKey=MSWZFWKMSRAUBD-IVMDWMLBSA-N,439213.0,155.0,179.079373,6.0,5.0,12.0,C6H13NO5,1.0,116.0,-2.8,1,Glucosamine,C6H13NO5,InChIKey=MSWZFWKMSRAUBD-IVMDWMLBSA-N,179.079372531,-2.7,0.49,551 g/L,179.1711,N[C@H]1C(O)O[C@H](CO)[C@@H](O)[C@@H]1O,HMDB01514,"InChI=1S/C6H13NO5/c7-3-5(10)4(9)2(1-8)12-6(3)11/h2-6,8-11H,1,7H2/t2-,3-,4-,5-,6?/m1/s1",6,11.73,8.23,5,-3,1,16.87,116.17,37.58,1,"(3R,4R,5S,6R)-3-amino-6-(hydroxymethyl)oxane-2,4,5-triol",glucosamine,"(+)-2-amino-2-deoxy-D-glucopyranose;(3R,4R,5S,6R)-3-amino-6-(hydroxymethyl)oxane-2,4,5-triol;2-Amino-2-deoxy-D-glucopyranose;2-Amino-2-deoxy-D-Glucose;2-Amino-2-deoxyglucose;2-Aminoglucose;2-Deoxy-2-amino-D-glucose;2-Deoxy-2-aminoglucose;Chitosamine;Cosamin;D-(+)-Glucosamine;D-Glucosamine"
L-Histidine,C6H9N3O2,M+H,112267856.0,"InChI=1S/C6H9N3O2/c7-5(6(10)11)1-4-2-8-3-9-4/h2-3,5H,1,7H2,(H,8,9)(H,10,11)/t5-/m0/s1",InChIKey=HNDVDQJCIGZPNO-YFKPBYRVSA-N,6274.0,151.0,155.069477,4.0,3.0,11.0,C6H9N3O2,3.0,92.0,-3.2,1,L-Histidine,C6H9N3O2,InChIKey=HNDVDQJCIGZPNO-YFKPBYRVSA-N,155.069476547,-2.7,-0.34,71.3 g/L,155.1546,N[C@@H](CC1=CNC=N1)C(O)=O,HMDB00177,"InChI=1S/C6H9N3O2/c7-5(6(10)11)1-4-2-8-3-9-4/h2-3,5H,1,7H2,(H,8,9)(H,10,11)/t5-/m0/s1",4,1.85,9.25,3,-3.3,0,14.92,92,37.49,3,(2S)-2-amino-3-(1H-imidazol-4-yl)propanoic acid,histidine,(S)-1H-Imidazole-4-alanine;(S)-2-Amino-3-(4-imidazolyl)propionsaeure;(S)-4-(2-Amino-2-carboxyethyl)imidazole;(S)-a-Amino-1H-imidazole-4-propanoate;(S)-a-Amino-1H-imidazole-4-propanoic acid;(S)-alpha-Amino-1H-imidazole-4-propanoate;(S)-alpha-Amino-1H-imidazole-4-propanoic acid;(S)-alpha-Amino-1H-imidazole-4-propionate;(S)-alpha-Amino-1H-imidazole-4-propionic acid;(S)-Histidine;(S)1H-Imidazole-4-alanine;3-(1H-Imidazol-4-yl)-L-Alanine;Amino-1H-imidazole-4-propanoate;Amino-1H-imidazole-4-propanoic acid;Amino-4-imidazoleproprionate;Amino-4-imidazoleproprionic acid;Glyoxaline-5-alanine;His;Histidine;L-(-)-Histidine
L-Lysine,C6H14N2O2,M+H,13944399.0,"InChI=1S/C6H14N2O2/c7-4-2-1-3-5(8)6(9)10/h5H,1-4,7-8H2,(H,9,10)/t5-/m0/s1",InChIKey=KDXKERNSBIXSRK-YFKPBYRVSA-N,5962.0,106.0,146.105528,4.0,3.0,10.0,C6H14N2O2,5.0,89.3,-3.0,1,L-Lysine,C6H14N2O2,InChIKey=KDXKERNSBIXSRK-YFKPBYRVSA-N,146.105527702,-3.8,-0.14,105 g/L,146.1876,NCCCC[C@H](N)C(O)=O,HMDB00182,"InChI=1S/C6H14N2O2/c7-4-2-1-3-5(8)6(9)10/h5H,1-4,7-8H2,(H,9,10)/t5-/m0/s1",4,2.74,10.29,3,-3.2,1,16.01,89.34,37.81,5,"(2S)-2,6-diaminohexanoic acid",L-lysine,"(+)-S-Lysine;(S)-2,6-diamino-Hexanoate;(S)-2,6-diamino-Hexanoic acid;(S)-2,6-Diaminohexanoate;(S)-2,6-Diaminohexanoic acid;(S)-a,e-Diaminocaproate;(S)-a,e-Diaminocaproic acid;(S)-Lysine;2,6-Diaminohexanoate;2,6-Diaminohexanoic acid;6-Amino-Aminutrin;6-Amino-L-Norleucine;a-Lysine;alpha-Lysine;Aminutrin;h-Lys-oh;L-(+)-Lysine;L-2,6-Diainohexanoate;L-2,6-Diainohexanoic acid;L-2,6-Diaminocaproate;L-2,6-Diaminocaproic acid;L-Lys;Lys;Lysine;Lysine acid"
L-Arginine,C6H14N4O2,M+H,95959816.0,"InChI=1S/C6H14N4O2/c7-4(5(11)12)2-1-3-10-6(8)9/h4H,1-3,7H2,(H,11,12)(H4,8,9,10)/t4-/m0/s1",InChIKey=ODKSFYDXXFIFQN-BYPYZUCNSA-N,6322.0,176.0,174.111676,4.0,4.0,12.0,C6H14N4O2,5.0,128.0,-4.2,1,L-Arginine,C6H14N4O2,InChIKey=ODKSFYDXXFIFQN-BYPYZUCNSA-N,174.111675712,-3.9,-1.4,7.59 g/L,174.201,N[C@@H](CCCN=C(N)N)C(O)=O,HMDB00517,"InChI=1S/C6H14N4O2/c7-4(5(11)12)2-1-3-10-6(8)9/h4H,1-3,7H2,(H,11,12)(H4,8,9,10)/t4-/m0/s1",6,2.41,11.94,4,-3.2,1,17.92,127.72,43.63,5,(2S)-2-amino-5-[(diaminomethylidene)amino]pentanoic acid,L-arginine,(S)-2-amino-5-[(aminoiminomethyl)amino]-Pentanoate;(S)-2-amino-5-[(aminoiminomethyl)amino]-Pentanoic acid;(S)-2-Amino-5-[(aminoiminomethyl)amino]pentanoate;(S)-2-Amino-5-[(aminoiminomethyl)amino]pentanoic acid;2-Amino-5-guanidinovalerate;2-Amino-5-guanidinovaleric acid;5-[(Aminoiminomethyl)amino]-L-Norvaline;Arginine;L-(+)-Arginine;L-a-Amino-D-guanidinovalerate;L-a-Amino-D-guanidinovaleric acid;L-alpha-Amino-delta-guanidinovalerate;L-alpha-Amino-delta-guanidinovaleric acid;N5-(aminoiminomethyl)-L-Ornithine
Melatonin,C13H16N2O2,M+H,1698471552.0,"InChI=1S/C13H16N2O2/c1-9(16)14-6-5-10-8-15-13-4-3-11(17-2)7-12(10)13/h3-4,7-8,15H,5-6H2,1-2H3,(H,14,16)",InChIKey=DRLFMBDRBRZALE-UHFFFAOYSA-N,896.0,270.0,232.121178,2.0,2.0,17.0,C13H16N2O2,4.0,54.1,0.8,1,Melatonin,C13H16N2O2,InChIKey=DRLFMBDRBRZALE-UHFFFAOYSA-N,232.121177766,1.42,-3.2,0.14 g/L,232.2783,COC1=CC2=C(NC=C2CCNC(C)=O)C=C1,HMDB01389,"InChI=1S/C13H16N2O2/c1-9(16)14-6-5-10-8-15-13-4-3-11(17-2)7-12(10)13/h3-4,7-8,15H,5-6H2,1-2H3,(H,14,16)",2,15.8,-0.94,2,1.15,0,25.49,54.12,66.28,4,N-[2-(5-methoxy-1H-indol-3-yl)ethyl]acetamide,melatonin,5-Methoxy-N-acetyltryptamine;Circadin;Melatol;Melatonin;Melatonin (synth.) standard-grade;Melatonin (synth.) ultra-pure;Melatonine;Melovine;MT6;N-(2-(5-Methoxy-1H-indol-3-yl)ethyl)acetamide;N-(2-(5-Methoxyindol-3-yl)ethyl)-Acetamide;N-(2-(5-Methoxyindol-3-yl)ethyl)acetamide;N-Acetyl-5-methoxy-tryptamine;N-Acetyl-5-methoxy-tryptamine Melatonine;N-Acetyl-5-methoxytryptamine;N-[2-(5-Methoxy-1H-indol-3-yl)ethyl)acetamide;N-[2-(5-Methoxy-1H-indol-3-yl)ethyl]-Acetamide;N-[2-(5-Methoxy-1H-indol-3-yl)ethyl]acetamide;N-[2-(5-Methoxyindol-3-yl)ethyl]-Acetamide;N-[2-(5-Methoxyindol-3-yl)ethyl]acetamide;Regulin;{N-[2-(5-methoxy-1H-indol-3-yl)ethyl]-} Acetamide;{N-[2-(5-methoxyindol-3-yl)ethyl]-} Acetamide
4-Coumarate,C9H8O3,M+H,2718753.0,"InChI=1S/C9H8O3/c10-8-4-1-7(2-5-8)3-6-9(11)12/h1-6,10H,(H,11,12)/b6-3+",InChIKey=NGSWKAQJJWESNS-ZZXKWVIFSA-N,637542.0,178.0,164.047344,3.0,2.0,12.0,C9H8O3,2.0,57.5,1.5,1,4-Hydroxycinnamic acid,C9H8O3,InChIKey=NGSWKAQJJWESNS-ZZXKWVIFSA-N,164.047344122,1.74,-2.2,1.02 g/L,164.158,OC(=O)\C=C\C1=CC=C(O)C=C1,HMDB02035,"InChI=1S/C9H8O3/c10-8-4-1-7(2-5-8)3-6-9(11)12/h1-6,10H,(H,11,12)/b6-3+",3,4,-6,2,1.83,-1,16.43,57.53,45.04,2,(2E)-3-(4-hydroxyphenyl)prop-2-enoic acid,para-coumaric acid,3-(4-Hydroxyphenyl)-2-propenoate;3-(4-Hydroxyphenyl)-2-propenoic acid;3-(4-Hydroxyphenyl)acrylate;3-(4-Hydroxyphenyl)acrylic acid;4'-Hydroxycinnamate;4'-Hydroxycinnamic acid;4-Coumarate;4-Coumaric acid;4-Hydroxy cinnamate;4-Hydroxy cinnamic acid;4-Hydroxycinnamate;4-Hydroxyphenylpropenoate;4-Hydroxyphenylpropenoic acid;b-[4-Hydroxyphenyl]acrylate;b-[4-Hydroxyphenyl]acrylic acid;beta-[4-Hydroxyphenyl]acrylate;beta-[4-Hydroxyphenyl]acrylic acid;cis-p-Coumarate;Hydroxycinnamate;Hydroxycinnamic acid;p-Coumarate;p-Coumaric acid;p-Cumarate;p-Cumaric acid;p-Hydroxycinnamate;p-Hydroxycinnamic acid;p-Hydroxyphenylacrylate;p-Hydroxyphenylacrylic acid;Para coumarate;Para coumaric acid;Para-Coumarate;Para-Coumaric acid;trans-4-Hydroxycinnamate;trans-4-Hydroxycinnamic acid;trans-p-Coumarate;trans-p-Coumaric acid
Methylmalonate,C4H6O4,M+H,258447.53125,"InChI=1S/C4H6O4/c1-2(3(5)6)4(7)8/h2H,1H3,(H,5,6)(H,7,8)",InChIKey=ZIYVHBGGAOATLY-UHFFFAOYSA-N,487.0,103.0,118.026609,4.0,2.0,8.0,C4H6O4,2.0,74.6,0.1,1,Methylmalonic acid,C4H6O4,InChIKey=ZIYVHBGGAOATLY-UHFFFAOYSA-N,118.02660868,0.17,0.1,149 g/L,118.088,CC(C(O)=O)C(O)=O,HMDB00202,"InChI=1S/C4H6O4/c1-2(3(5)6)4(7)8/h2H,1H3,(H,5,6)(H,7,8)",4,2.48,,2,0.21,-2,10.06,74.6,23.56,2,2-methylpropanedioic acid,methylmalonic acid,"1,1-Ethanedicarboxylate;1,1-Ethanedicarboxylic acid;2-Methylmalonate;2-Methylmalonic acid;Isosuccinate;Isosuccinic acid;Methyl-Malonate;Methyl-Malonic acid;Methyl-Propanedioate;Methyl-Propanedioic acid;Methylmalonate;Methylmalonic acid;Methylpropanedioate;Methylpropanedioic acid"
Thymidine,C10H14N2O5,M+H,11916746.0,"InChI=1S/C10H14N2O5/c1-5-3-12(10(16)11-9(5)15)8-2-6(14)7(4-13)17-8/h3,6-8,13-14H,2,4H2,1H3,(H,11,15,16)/t6-,7+,8+/m0/s1",InChIKey=IQFYYKKMVGJFEH-XLPZGREQSA-N,5789.0,381.0,242.090272,5.0,3.0,17.0,C10H14N2O5,2.0,99.1,-1.2,1,Thymidine,C10H14N2O5,InChIKey=IQFYYKKMVGJFEH-XLPZGREQSA-N,242.090271568,-1.3,-0.56,66.8 g/L,242.2286,CC1=CN([C@H]2C[C@H](O)[C@@H](CO)O2)C(=O)NC1=O,HMDB00273,"InChI=1S/C10H14N2O5/c1-5-3-12(10(16)11-9(5)15)8-2-6(14)7(4-13)17-8/h3,6-8,13-14H,2,4H2,1H3,(H,11,15,16)/t6-,7+,8+/m0/s1",5,9.96,-3,3,-1.1,0,23.06,99.1,55.41,2,"1-[(2R,4S,5R)-4-hydroxy-5-(hydroxymethyl)oxolan-2-yl]-5-methyl-1,2,3,4-tetrahydropyrimidine-2,4-dione",thymidine,"1-(2-Deoxy-b-D-erythro-pentofuranosyl)-5-methyl-2,4(1H,3H)-pyrimidinedione;1-(2-Deoxy-beta-delta-erythro-pentofuranosyl)-5-methyl-2,4(1H,3H)-pyrimidinedione;1-[4-Hydroxy-5-(hydroxymethyl)oxolan-2-yl]-5-methyl-pyrimidine-2,4-dione;2'-Deoxy-5-methyl-Uridine;2'-Deoxythymidine;5-Methyl-2'-deoxyuridine;5-Methyldeoxyuridine;Deoxyribothymidine;Deoxythymidine;DT;DThyd;Thymidin;Thymidine;Thymine 2-desoxyriboside;Thymine deoxyriboside;Thymine-1 2-deoxy-b-D-Ribofuranoside;Thymine-1 2-deoxy-beta-delta-Ribofuranoside"
Deoxyuridine,C9H12N2O5,M+H,2663984.0,"InChI=1S/C9H12N2O5/c12-4-6-5(13)3-8(16-6)11-2-1-7(14)10-9(11)15/h1-2,5-6,8,12-13H,3-4H2,(H,10,14,15)/t5-,6+,8+/m0/s1",InChIKey=MXHRCPNRJAMMIM-SHYZEUOFSA-N,13712.0,343.0,228.074621,5.0,3.0,16.0,C9H12N2O5,2.0,99.1,-1.6,1,Deoxyuridine,C9H12N2O5,InChIKey=MXHRCPNRJAMMIM-SHYZEUOFSA-N,228.074621504,-1.5,-0.4,90.6 g/L,228.202,OC[C@H]1O[C@H](C[C@@H]1O)N1C=CC(=O)NC1=O,HMDB00012,"InChI=1S/C9H12N2O5/c12-4-6-5(13)3-8(16-6)11-2-1-7(14)10-9(11)15/h1-2,5-6,8,12-13H,3-4H2,(H,10,14,15)/t5-,6+,8+/m0/s1",5,9.71,-3,3,-1.5,0,21.06,99.1,51.05,2,"1-[(2R,4S,5R)-4-hydroxy-5-(hydroxymethyl)oxolan-2-yl]-1,2,3,4-tetrahydropyrimidine-2,4-dione",deoxyuridine,"1-(2-Deoxy-beta-D-erythro-pentofuranosyl)-2,4(1H,3H)-Pyrimidinedione;1-(2-Deoxy-beta-D-ribofuranosyl)-2,4(1H,3H)-Pyrimidinedione;1-(2-Deoxy-beta-delta-erythro-pentofuranosyl)-2,4(1H,3H)-Pyrimidinedione;1-(2-Deoxy-beta-delta-ribofuranosyl)-2,4(1H,3H)-Pyrimidinedione;1-(2-Deoxy-D-erythro-pentofuranosyl)uracil;1-(2-Deoxy-delta-erythro-pentofuranosyl)uracil;2'-Deoxyuridine;2'-Desoxyuridine;Deoxyribose uracil;Desoxyuridine;Uracil deoxyriboside;Uracil desoxyuridine"
Uridine,C9H12N2O6,M+H,1644230.375,"InChI=1S/C9H12N2O6/c12-3-4-6(14)7(15)8(17-4)11-2-1-5(13)10-9(11)16/h1-2,4,6-8,12,14-15H,3H2,(H,10,13,16)/t4-,6-,7-,8-/m1/s1",InChIKey=DRTQHJPVMGBUCF-XVFCMESISA-N,6029.0,371.0,244.069536,6.0,4.0,17.0,C9H12N2O6,2.0,119.0,-2.0,1,Uridine,C9H12N2O6,InChIKey=DRTQHJPVMGBUCF-XVFCMESISA-N,244.069536126,-1.8,-0.26,135 g/L,244.2014,OC[C@H]1O[C@H]([C@H](O)[C@@H]1O)N1C=CC(=O)NC1=O,HMDB00296,"InChI=1S/C9H12N2O6/c12-3-4-6(14)7(15)8(17-4)11-2-1-5(13)10-9(11)16/h1-2,4,6-8,12,14-15H,3H2,(H,10,13,16)/t4-,6-,7-,8-/m1/s1",6,9.7,-3,4,-2.4,0,21.78,119.33,52.57,2,"1-[(2R,3R,4S,5R)-3,4-dihydroxy-5-(hydroxymethyl)oxolan-2-yl]-1,2,3,4-tetrahydropyrimidine-2,4-dione",uridine,"1-b-D-Ribofuranosyl-2,4(1H,3H)-pyrimidinedione;1-b-D-Ribofuranosyluracil;1-beta-delta-Ribofuranosyl-2,4(1H,3H)-pyrimidinedione;1-beta-delta-Ribofuranosyluracil;b-D-Ribofuranoside 2,4(1H,3H)-pyrimidinedione-1;b-Uridine;beta-delta-Ribofuranoside 2,4(1H,3H)-pyrimidinedione-1;beta-Uridine;Uridin"
cis-Aconitate,C6H6O6,M+H,280129.71875,"InChI=1S/C6H6O6/c7-4(8)1-3(6(11)12)2-5(9)10/h1H,2H2,(H,7,8)(H,9,10)(H,11,12)/b3-1-",InChIKey=GTZCVFVGUGFEME-IWQZZHSRSA-N,643757.0,251.0,174.016438,6.0,3.0,12.0,C6H6O6,4.0,112.0,-1.0,1,cis-Aconitic acid,C6H6O6,InChIKey=GTZCVFVGUGFEME-IWQZZHSRSA-N,174.016437924,-0.41,-1.4,6.72 g/L,174.1082,OC(=O)C\C(=C\C(O)=O)C(O)=O,HMDB00072,"InChI=1S/C6H6O6/c7-4(8)1-3(6(11)12)2-5(9)10/h1H,2H2,(H,7,8)(H,9,10)(H,11,12)/b3-1-",6,2.11,,3,-0.52,-3,14.16,111.9,35.23,4,"(1Z)-prop-1-ene-1,2,3-tricarboxylic acid",cis-aconitic acid,"(1Z)-1-Propene-1,2,3-tricarboxylate;(1Z)-1-Propene-1,2,3-tricarboxylic acid;(Z)-1-Propene-1,2,3-tricarboxylate;(Z)-1-Propene-1,2,3-tricarboxylic acid;(Z)-Aconitate;(Z)-Aconitic acid;1-cis-2,3-Propenetricarboxylate;1-cis-2,3-Propenetricarboxylic acid;1-Propene-1,2,3-tricarboxylate;1-Propene-1,2,3-tricarboxylic acid;cis-1-Propene-1,2,3-tricarboxylate;cis-1-Propene-1,2,3-tricarboxylic acid;cis-Aconate;cis-Aconic acid;cis-Aconitate;cis-Aconitic acid;cis-Oxaloacetate;cis-Oxaloacetic acid"
Pyridoxal phosphate,C8H10NO6P,M+H,3260067.75,"InChI=1S/C8H10NO6P/c1-5-8(11)7(3-10)6(2-9-5)4-15-16(12,13)14/h2-3,11H,4H2,1H3,(H2,12,13,14)",InChIKey=NGVDGCNFYWLIFO-UHFFFAOYSA-N,1051.0,292.0,247.024574,7.0,3.0,16.0,C8H10NO6P,4.0,117.0,-1.1,1,Pyridoxal 5'-phosphate,C8H10NO6P,InChIKey=NGVDGCNFYWLIFO-UHFFFAOYSA-N,247.024573569,-0.55,-1.6,5.7 g/L,247.1419,CC1=NC=C(COP(O)(O)=O)C(C=O)=C1O,HMDB01491,"InChI=1S/C8H10NO6P/c1-5-8(11)7(3-10)6(2-9-5)4-15-16(12,13)14/h2-3,11H,4H2,1H3,(H2,12,13,14)",6,1.68,4.11,3,-2.1,-2,20.91,116.95,54.75,4,[(4-formyl-5-hydroxy-6-methylpyridin-3-yl)methoxy]phosphonic acid,(4-formyl-5-hydroxy-6-methylpyridin-3-yl)methoxyphosphonic acid,Apolon B6;Biosechs;Codecarboxylase;Coenzyme B6;Hairoxal;Hexermin-P;Hi-Pyridoxin;Hiadelon;Himitan;PAL-P;Phosphopyridoxal;Phosphopyridoxal coenzyme;Pidopidon;Piodel;PLP;Pydoxal;Pyridoxal 5'-phosphate;Pyridoxal 5-phosphate;Pyridoxal P;Pyridoxal phosphate;Pyridoxal-P;Pyridoxyl phosphate;Pyromijin;Sechvitan;Vitahexin-P;Vitazechs
